timestamp,solar.radiation,precipitation,lightning acvitivy,lightning distance,wind.dir,wind.speed,gust.speed,air.temperature,relative.humid,atmospheric.pressure,soil.moisture,soil.temp
Records,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,5TM Moisture/Temp,5TM Moisture/Temp
m/d/Y H:M,W per m squared,mm ,NA,km,degrees,m.s Wind Speed,m.s Gust Speed,C,proportion,kPa,meters cubed per meter cubed,degrees C
6/12/2018 11:30,859,0,0,0,354,0.9,4.24,22.2,0.44,96.46,0.104,21.2
6/12/2018 12:00,898,0,0,0,39,0.89,3.47,22.7,0.44,96.43,0.102,19.5
6/12/2018 12:30,945,0,0,0,33,0.95,4.1,23.2,0.42,96.4,0.101,19.3
6/12/2018 13:00,942,0,0,0,55,0.91,3.82,23.6,0.44,96.39,0.1,20.1
6/12/2018 13:30,929,0,0,0,27,1.08,4.68,23.8,0.42,96.35,0.1,20.4
6/12/2018 14:00,937,0,0,0,352,1.1,4.61,23.9,0.41,96.31,0.099,20.4
6/12/2018 14:30,873,0,0,0,8,0.88,3.9,24.2,0.41,96.29,0.098,20.7
6/12/2018 15:00,916,0,0,0,2,0.91,3.09,24.6,0.42,96.26,0.098,20.9
6/12/2018 15:30,869,0,0,0,15,0.87,5.01,24.7,0.41,96.25,0.097,21
6/12/2018 16:00,792,0,0,0,4,1,3.57,24.6,0.41,96.22,0.096,21.2
6/12/2018 16:30,693,0,0,0,37,0.8,3.14,24.6,0.42,96.18,0.096,21.3
6/12/2018 17:00,640,0,0,0,52,0.83,4.08,24.2,0.42,96.16,0.095,21.2
6/12/2018 17:30,524,0,0,0,37,0.63,2.52,24,0.43,96.14,0.095,21
6/12/2018 18:00,232,0,0,0,23,0.88,3.99,22.9,0.45,96.12,0.094,19.2
6/12/2018 18:30,101,0,0,0,9,0.79,2.6,22.3,0.46,96.12,0.093,18.1
6/12/2018 19:00,75,0,0,0,66,0.82,3.53,21.8,0.48,96.11,0.093,17.6
6/12/2018 19:30,58,0,0,0,7,0.69,2.55,21.1,0.5,96.08,0.093,17.2
6/12/2018 20:00,31,0,0,0,4,0.52,2.14,20.4,0.53,96.06,0.093,16.7
6/12/2018 20:30,11,0,0,0,351,0.6,3.57,19.5,0.56,96.04,0.092,16
6/12/2018 21:00,1,0,0,0,11,0.55,1.85,18.8,0.58,96.02,0.092,15.4
6/12/2018 21:30,0,0,0,0,10,0.51,2.23,18,0.62,96.04,0.092,14.9
6/12/2018 22:00,0,0,0,0,356,0.53,2.02,17.6,0.64,96.06,0.093,14.7
6/12/2018 22:30,0,0,0,0,357,0.54,2.78,17.2,0.65,96.07,0.092,14.4
6/12/2018 23:00,0,0,0,0,17,0.71,2.71,17.3,0.65,96.07,0.093,14.3
6/12/2018 23:30,0,0,0,0,16,0.73,3.81,17.4,0.64,96.06,0.093,14.6
6/13/2018 0:00,0,0,0,0,5,0.67,3.33,16.9,0.66,96.05,0.093,14.4
6/13/2018 0:30,0,0,0,0,351,0.62,3.18,16.6,0.67,96.04,0.093,14.2
6/13/2018 1:00,0,0,0,0,1,0.54,2.49,16,0.69,96.03,0.093,13.8
6/13/2018 1:30,0,0,0,0,4,0.6,2.2,15.9,0.69,96,0.093,13.6
6/13/2018 2:00,0,0,0,0,6,0.43,2.39,15.4,0.71,95.98,0.093,13.5
6/13/2018 2:30,0,0,0,0,356,0.43,2.52,15,0.73,95.94,0.093,13.2
6/13/2018 3:00,0,0,0,0,0,0.46,1.92,14.9,0.74,95.92,0.093,13.2
6/13/2018 3:30,0,0,0,0,358,0.27,1.23,14.6,0.76,95.9,0.093,13
6/13/2018 4:00,0,0,0,0,14,0.28,1.31,14.4,0.78,95.87,0.093,13.1
6/13/2018 4:30,0,0,0,0,31,0.3,1.28,14.6,0.79,95.86,0.094,13.5
6/13/2018 5:00,0,0,0,0,45,0.27,1.24,15,0.79,95.85,0.094,14
6/13/2018 5:30,0,0,0,0,68,0.31,1.81,15.2,0.8,95.83,0.094,14.2
6/13/2018 6:00,3,0,0,0,114,0.29,1.72,15.4,0.81,95.82,0.094,14.3
6/13/2018 6:30,13,0,0,0,72,0.29,1.8,15.3,0.82,95.82,0.094,14.4
6/13/2018 7:00,29,0,0,0,111,0.33,1.4,15.1,0.89,95.81,0.095,14.7
6/13/2018 7:30,48,0.051,0,0,133,0.34,0.93,14.9,0.92,95.78,0.095,14.8
6/13/2018 8:00,103,0.306,0,0,119,0.34,0.84,15,0.95,95.74,0.095,15.1
6/13/2018 8:30,122,0.017,0,0,87,0.37,1.63,15.5,0.97,95.71,0.096,15.5
6/13/2018 9:00,171,0,0,0,86,0.46,1.18,16.1,0.98,95.66,0.096,16.1
6/13/2018 9:30,170,0.017,0,0,98,0.42,1.33,16.7,0.97,95.65,0.096,16.5
6/13/2018 10:00,163,0,0,0,76,0.56,3.27,17.2,0.96,95.63,0.096,16.9
6/13/2018 10:30,162,0,0,0,48,0.57,2.41,17.4,0.94,95.6,0.096,16.9
6/13/2018 11:00,177,0,0,0,16,0.64,3.76,17.8,0.93,95.57,0.096,17.2
6/13/2018 11:30,372,0,0,0,66,0.79,4.69,18.6,0.93,95.52,0.097,18.2
6/13/2018 12:00,149,0,0,0,95,0.51,2.46,18.8,0.91,95.51,0.097,18
6/13/2018 12:30,100,0,0,0,16,0.68,2.78,18.6,0.9,95.51,0.096,17.3
6/13/2018 13:00,142,0,0,0,43,0.56,2.81,18.8,0.91,95.48,0.096,17.5
6/13/2018 13:30,146,0,0,0,63,0.51,2.27,19.3,0.92,95.45,0.096,17.7
6/13/2018 14:00,176,0,0,0,51,0.59,3.69,19.9,0.91,95.39,0.096,18.1
6/13/2018 14:30,112,0.579,0,0,67,0.49,1.78,19.6,0.94,95.35,0.18,18.3
6/13/2018 15:00,98,1.004,0,0,48,0.56,1.86,19.3,0.95,95.35,0.268,18.2
6/13/2018 15:30,424,0,0,0,48,0.7,2.49,19.7,0.99,95.3,0.226,19
6/13/2018 16:00,450,0,0,0,51,0.78,3.54,21,0.97,95.24,0.213,20
6/13/2018 16:30,556,0,0,0,62,0.7,2.62,21.9,0.94,95.18,0.206,20.3
6/13/2018 17:00,498,0,0,0,64,0.81,3.59,22.7,0.9,95.15,0.201,20.8
6/13/2018 17:30,382,0,0,0,63,0.65,2.84,22.7,0.88,95.18,0.196,20.5
6/13/2018 18:00,235,0,0,0,50,0.6,1.87,22.6,0.88,95.15,0.192,20
6/13/2018 18:30,80,0,0,0,53,0.53,2.14,22.2,0.89,95.07,0.188,19.3
6/13/2018 19:00,58,0,0,0,48,0.59,2.38,21.9,0.89,95.08,0.186,19
6/13/2018 19:30,44,0,0,0,52,0.69,3.08,21.8,0.88,95.06,0.184,18.7
6/13/2018 20:00,35,4.847,0,0,44,0.67,3.44,21.3,0.9,95,0.219,18.7
6/13/2018 20:30,40,5.217,17,13,57,0.84,4.1,20.3,0.97,95.01,0.279,19.5
6/13/2018 21:00,6,0,1,12,71,0.41,1.35,20,0.97,95.09,0.246,19
6/13/2018 21:30,0,0,0,0,87,0.39,1.46,18.6,1,95.17,0.234,18.3
6/13/2018 22:00,0,0,0,0,78,0.34,0.86,17.4,0.99,95.25,0.227,17.6
6/13/2018 22:30,0,0,0,0,63,0.28,0.58,16.8,0.98,95.27,0.223,16.7
6/13/2018 23:00,0,0,0,0,59,0.27,0.92,16.2,0.98,95.26,0.22,16
6/13/2018 23:30,0,0,0,0,103,0.39,1.57,15.4,0.98,95.28,0.218,15.7
6/14/2018 0:00,0,0,0,0,85,0.36,1.42,13.7,1,95.33,0.216,15.2
6/14/2018 0:30,0,0,0,0,75,0.36,1.07,12.9,0.98,95.32,0.213,14.3
6/14/2018 1:00,0,0,0,0,106,0.39,1.28,12.7,0.95,95.32,0.212,13.9
6/14/2018 1:30,0,0,0,0,141,0.41,1.53,12.7,0.95,95.31,0.211,13.8
6/14/2018 2:00,0,0,0,0,149,0.45,1.65,12.6,0.95,95.3,0.21,13.8
6/14/2018 2:30,0,0,0,0,151,0.46,1.29,12.6,0.95,95.3,0.209,13.8
6/14/2018 3:00,0,0,0,0,157,0.53,2.28,12.6,0.94,95.29,0.208,13.7
6/14/2018 3:30,0,0,0,0,143,0.52,1.94,12.5,0.94,95.3,0.208,13.6
6/14/2018 4:00,0,0,0,0,151,0.55,3.14,12.5,0.95,95.29,0.208,13.5
6/14/2018 4:30,0,0,0,0,147,0.5,2.09,12.4,0.94,95.27,0.208,13.4
6/14/2018 5:00,0,0,0,0,155,0.53,1.33,12.4,0.93,95.25,0.208,13.2
6/14/2018 5:30,1,0,0,0,152,0.42,1.33,12.4,0.92,95.24,0.208,13
6/14/2018 6:00,8,0,0,0,140,0.46,2.63,12.5,0.9,95.24,0.208,12.8
6/14/2018 6:30,17,0,0,0,116,0.42,2.08,12.5,0.9,95.25,0.208,12.8
6/14/2018 7:00,26,0,0,0,154,0.42,1.75,12.9,0.9,95.27,0.207,12.9
6/14/2018 7:30,33,0,0,0,134,0.42,1.7,13.4,0.85,95.29,0.207,13.1
6/14/2018 8:00,40,0,0,0,144,0.38,1.84,13.9,0.83,95.29,0.207,13.2
6/14/2018 8:30,50,0.017,0,0,90,0.42,2.66,14.7,0.81,95.3,0.207,13.5
6/14/2018 9:00,85,0,0,0,114,0.42,1.93,15.8,0.8,95.31,0.207,13.8
6/14/2018 9:30,280,0,0,0,205,0.45,1.38,17,0.78,95.3,0.206,14.6
6/14/2018 10:00,653,0,0,0,227,0.43,1.68,18.7,0.76,95.29,0.205,16.1
