STATION,STATION_NAME,DATE,HPCP
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 00:00,1.27
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 01:00,0.76
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 02:00,0.25
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 03:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 04:00,0.25
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 16:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 17:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 18:00,0.25
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 22:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101 23:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070102 00:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070102 01:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070102 02:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070102 03:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070102 05:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070104 22:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070104 23:00,0.76
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 00:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 01:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 02:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 04:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 05:00,0.25
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 06:00,0.76
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 07:00,0.76
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 17:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 18:00,0.51
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 19:00,3.05
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 20:00,3.81
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 21:00,7.87
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 22:00,2.54
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105 23:00,8.89
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 00:00,3.56
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 01:00,2.29
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 02:00,1.52
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 03:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 04:00,0.25
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 05:00,1.27
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 06:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 07:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 08:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 09:00,0.00
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 11:00,0.51
COOP:308383,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106 14:00,0.00
